Index,EVMAddress,SubstrateAddress,Balance
1,0xe4103e80c967f58591a1d7cA443ed7E392FeD862,5DMQXisGqUjBgMSiYpPukvdF7pVMm3BKtvVRc3b6rVaAtNhm,253280626.7643
2,0xB22E7ebC96b27d9074F6724D5300f964691FA097,5HXeWfbPhL4oS8EyzfNvNpMA6peay3rS8hieXUasxuVaedqY,210000007.0000
3,0x1A4ec1fd72Eb76DBe6109038a93f456c7cc1bf5b,5EGDeF677brUCbgwoWkPrUuJNbxq5DLRLM2hEQaWe4fhqjPo,106393805.9964
4,0xe0a4B8d19Fb1E80b4EFbBd30Bd3D3a4158Db9d8F,5GiAnuczZ2PN4KS8oesm7q9xFHd1hYM4oDpkVzyQdiGzYEar,229828717.3151
5,0x4b4c2aABaDA91534B217a5B70E3b43A678F88D49,5HXnNAkzoqqHNUj2oj8cKVJS2mRu34SfLyKew9P43ZaYd5Ea,470079058.6186
6,0x45ADD7eEcF69bB6dE394cDaF317aCA96a4F3b33B,5HZtPADpWU7mkh6TbriHHZruZqVd9utDeQCoNnExpdHLmrtk,11189996.9930
7,0x46E967F90f9426823603db6765123Ba27AB983C0,5FqjNBSKqVsLPoHT3sd99aKBP5ntpzWWSzDA66TWJxCD1MYw,74240844.7574
8,0x7B38b140d02635f5a983E14467D70e7fE829e455,5GFYnkxHg8jsENhpoYSgZHondXtXLHBtb2m3SCx8VLUbGBMS,126320908.9221
9,0xaa53A7C827929ACA77FF846F7A5e526895a00c99,5CnNjJPoWqnNCCSTvfoznFTm5EGf7jeWx7v1f6st7f1CK9Zv,80747812.8195
10,0x33F4c46dB12131FBb70755B57A2a1104c5923B09,5GMVNhP2MMcw15yesbmAk9RDB5YCjsh1WWU5kiY7EtdfJjmD,9747761.3955
11,0x355A1EC71E87777Cf77e3181f96A2825073f1913,5DkqgZJcGyYTewA5MTMSVUWAWuWqpKdmA348f8NyUERS2xmp,148669085.4006
12,0x74629919F9708eB4ff41fc8a8733339d5F53B40d,5CH5GH5za1HJ5rFRTd3bE6iRRefUKLR9EB3rhakyYC9ew7N1,109508764.1718
13,0x5A70320699882af28c51a1E3b6BBdE3ec7B6F90d,5DZmNSgxutbCYZpRoa6ZunpGQb6dBjTFRTTc9gtghXSirvVo,73908750.5369
14,0xa5150c34Abf63cB198b7657C7CCc010f98F7846B,5EJHZafPsjJpHgbQLt3GMCFp38aNiLaNofYTgmE4S6BBPiA1,30816912.4130
15,0x91b91255F8a01C2dC9F59d7F8962Ea1dBA45F09C,5GCjnaqsGHfuZ1mvbVbPEXYpY6suchFx7Qoo9ktqmvU5xxY7,20043324.3074
16,0x62E455E67aC7bfeA7593C6813b2CcE818eeD2C64,5CfzfeAfSPh7WE571LrmRm9bFs6CFKP1g8v3CppfkGrSn4Sr,52833000.9914
17,0xA5C07b151D2cf13DFfB069D2bBC817613e20b0b0,5Gx7hEkBaWZJaQuFEFAYnkteqcQrnj3CA35GSSNigmZFqHgm,2526562.5007
18,0xbBd51F8Da52078AB18d414ABfeADB8B5803383f5,5CWQRVz8uFZuh55bD6FMEF1U7iStd376BvDH1Q4VgKD6eQW2,14252407.4470
19,0x8177b4fa4Ad4e96E39BEdd33041F578384908ADb,5GnFa213uHD5WA5ZX5DeUkhGogTW3zHg5VrzEEMFXmrVa3Fb,4489521.5840
20,0x2c5099b7e802f27BE6E0BB9FcdE29b3B633c3a55,5FQdDRu1VznhR5fmuowdTqZM6gk2UBCEs9pPrQCoW4egffpR,98508800.9165
21,0xd06423F28FFc17221B6c0cB8EE3b8897e5F96A03,5GQzsiDTAMRTDV4ioHQwB7oqQT1XrbDMzhudwqdQjcqZ8HwL,99796482.6298
22,0x5477FD62511C9c4debC8a651f1D1aC45917CDd1B,5H6xnEkEiYwavFkDpsu2iyRvmFjBNL7b8j6JccPscZXZL85N,11589875.7341
23,0x408505ec4bB812B9B649a653390a7b683CEa3D54,5DUPbKm4u1HCscJ5LzFq7w9fdjjDnB5P39FH72xoGUQgKhAH,15416668.6658
24,0x09C679CcDD78e58FB3D5bd625E6d1436F4547e6d,5D58aTfW1b1ZAqL2cBg9FjEY6zjmx3KWRs9thRjAY9tZBPW4,12281250.9935
25,0xf610fc9296b48a74dF7b0c127B7A80f8Ee1Cd906,5Fnf8gTquX13emQRJnSNWRVreL9u2crBs47eNoLEjFPDmELV,26208333.3300
26,0x00164B4783446fdE32EddbF7D5a347b85322f201,5D2K1tt7zPFWkyggrwHQryJwHSBQdVhJcRSqMbYt8XvbX84X,38541667.6364
27,0x9e9bfaBDc2dDC43784AB13890Ad14a49b033FEDA,5CjasMvjjBVcPatKoeMoxTVSpWBbh6YcGWq8bC9z9yzM2oZw,3854166.6700
28,0x403C34dB9B2836c884f78f0F8631F0bAc38d40Fa,5FmVPe5QS1LpNmvPCMrcYQfBSVgryZ1vmMj8An1LBCzewA9r,11594887.2994
29,0x113DaA15eB9e9a1c5B38B7EC22F6835808B2c95b,5Ex1Y3jimFv8AEr5p94dvbj9M4t1cGhHR3SqsYRw1MNZZQQB,38541666.6707
30,0xA3Aa5fBDfba915A271EFc902c6DA2c8c17c20531,5FmrG6xgwgJhFF5k9W33NTKmmNmNZ3sZCbAJyDYieVfbjby8,19272171.1804
31,0xfBa68B7D4F94Df4870b1e66dfC1299061eEdd98B,5Dj1veZTPCXpKJUmtGDHufa9Gp8PQAfb8fg3TpeGsfcavJsw,19270834.3235
32,0x7869A5b3abE9bD24310F2F4a4A26BCe705392eef,5CAde9gLPPMXrf7Cr7gbJbLHPwzPRmRo1dQHpZd979py74oN,8354742.4612
33,0x74cc13Dc7F50d645A07FfC9e398507B57EdE27D7,5FXcUEekgVTDPMm7KNaFWYKs1j69Sp7ysGZfHRsC1arEYvzW,73237095.7005
34,0x1632971555791968d52126be3628a35BcCdCCdBA,5DNkydccKc1UrUTeaQ2pm9oooHVu6qRt4ux44i28os9A7Rmw,8325000.9954
35,0xC682b6CA68DAc5593b735eb5E35394367a7A2230,5GZyRaNEgErCqseMvLqX9hWZbrHQDFSQYUvgbz6pgv2fh1AR,12000000.9977
36,0x0B21c577BD4DC343AFE46AB93e02e5B10e716318,5DCA98LXWETLPyBrg6GqY4vYM1FNyQi7xHQV3WuppTkL1241,7708335.3235
37,0x22381DeF597266268b291B1C1228f332FBbd4b82,5FHttsm2NrFE3uVnqRnKyobJZxgFKrDarGQQmSJis6zRNG9t,49966658.6637
38,0x321C5923eBdDC9FCA04Cdfd85019Fd41d0bCCC7d,5HNnArP5vw8F41FRcyJgsPobBAw72CjMGzgr8VhuK9irzVQU,4348573.3936
39,0xAC5888833dd79D10b16eB78c85be5C33576f2015,5DUPPp6936SUiP42GQm3UWy7K9ooFy6JDVbmsVzBdPLgJK24,2821250.9977
40,0xa5666122B453061eB23cB154043634F3a292D299,5EJMgDWWy23pPehFHsNEcqLiNhqmyZYfJ8NCpH5K8bqHNqRj,20833333.3300
41,0xb58ea52F5c5cC08f49Ea4c2bE0BD4BB09134EaD7,5HL4Tf5pHw3PFVYeH1egfPdcWjhZiPjEuxm1zz1cHpHedGj5,4635234.9828
42,0x126067FD5F9966eDd5FA22Abe35aD654b0226059,5ED1us95gDEqYrVdXYsFhDLgJMx5siujbd187vEPXx5ZmAk5,3854168.6649
43,0x330e10Fa84c41B09942B9186e15b475239ef9d6D,5GK2Q6P6Df7vABTBnfvE647b8XBnvGdJXuwTVZB1z2VsEqrA,3854167.6593
44,0x542e6163fCbB6840856Db9eB5672507Eb143Dad9,5DZwAfDuZ5QY4DpKdy8Xqrnbd6fqagPS2QG1ZRhQk7JUhAC7,3973657.6530
45,0xE72D1BE24095379756959aB3aF1df22f4e2Ce7Dc,5Ej4xiPr2Bw1FcoS1TWnpa6kpE7QS1HS92tCTFTVFVTLwPga,3854166.6700
46,0xBA475fE835b8c3acA0f8Fe89F3533454FaE02C1C,5DJ8gZZrK1EafYFLfZnrL94g3BG1sWPdtwcT5VcgDoTjJaZE,9250476.7246
47,0x90997D3533d0C49197F415Ee522128aa81dd41Be,5GGsB3dqRAdNfMSkdo4BFXNMiZrn6EF9j2YJarSm95KaStXZ,1927234.3235
48,0x320E65159A632caA4c93F7ea3EaA98d4Ef2A0287,5ERpMuh6DqPBee4oHUZ3t5J2a3VB9URfQdJuTHwEgqxXg4zN,373907.3586
49,0x4075a709217C243E0D058eC88012eea06E6fB112,5EBXv3eXGrGvACohcyKUF4hdBd39LM1BnCcfuMhJhAYnk8WA,200232.2006
50,0xf588399427A5ba60747534218966AE20dC7a4B2A,5HMZapnX9wdD11paKBufk35jcCtM55av9rSasrShVaC5yB5c,200000.0000
51,0xe9094e3DC86b9443B90361093B86898F7231bC49,5Cu8NrHdBhj4juQmsA27F4ZzL8fXZoeQvGWZ9F5VjnGUhH51,400000.0000
52,0x4E50f1580280A9EdaEF973f6F247BeedcbA59395,5EZL7AMCXdaU8PXHKgT6AGtWwhLaXFtF7u6nFimE3XbcUFiG,370000.9958
